Season,SeasonKey
1993-1994,1
1994-1995,2
1995-1996,3
1996-1997,4
1997-1998,5
1998-1999,6
1999-2000,7
2000-2001,8
2001-2002,9
2002-2003,10
2003-2004,11
2004-2005,12
2005-2006,13
2006-2007,14
2007-2008,15
2008-2009,16
2009-2010,17
2010-2011,18
2011-2012,19
2012-2013,20
2013-2014,21
2014-2015,22
2015-2016,23
2016-2017,24
2017-2018,25
2018-2019,26
2019-2020,27
2020-2021,28
2021-2022,29
2022-2023,30
2023-2024,31
2024-2025,32
